# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	Intra-t2g excitations (arb. units)	t2g-eg excitations (arb. units)
            0.1632971549             0.0372039122             2.1526874467             0.3881345061             0.0000000009
            0.1644371549             0.0366969139             2.1268850364             0.3914401352             0.0000000009
            0.1655771549             0.0362001623             2.1013450916             0.3947804820             0.0000000010
            0.1667171549             0.0357133844             2.0760679888             0.3981562684             0.0000000010
            0.1678571549             0.0352363161             2.0510410616             0.4015682577             0.0000000010
            0.1689971549             0.0347687021             2.0262660840             0.4050172583             0.0000000010
            0.1701371549             0.0343102952             2.0017445731             0.4085041277             0.0000000010
            0.1712771549             0.0338608564             1.9774778015             0.4120297767             0.0000000010
            0.1724171549             0.0334201542             1.9534938213             0.4155951732             0.0000000010
            0.1735571549             0.0329879647             1.9297727663             0.4192013479             0.0000000011
            0.1746971549             0.0325640708             1.9063089871             0.4228493984             0.0000000011
            0.1758371549             0.0321482624             1.8831028263             0.4265404953             0.0000000011
            0.1769771549             0.0317403362             1.8601544378             0.4302758877             0.0000000011
            0.1781171549             0.0313400948             1.8374667564             0.4340569094             0.0000000011
            0.1792571549             0.0309473472             1.8150669611             0.4378849854             0.0000000012
            0.1803971549             0.0305619082             1.7929242450             0.4417616390             0.0000000012
            0.1815371549             0.0301835984             1.7710380557             0.4456884991             0.0000000012
            0.1826771549             0.0298122435             1.7494076997             0.4496673080             0.0000000012
